tweet_id,retweet_count,favorite_count,tweet_length,hashtags
880872448815771648,3989,21734,137,
880465832366813184,6546,29075,114,
880221127280381952,4436,27640,108,
880095782870896641,4533,28150,129,
879862464715927552,3642,22667,91,
879674319642796034,10,315,31,
879492040517615616,3323,23822,90,
879415818425184262,45849,107956,82,
879376492567855104,3261,17099,125,
879130579576475649,7181,0,140,
879050749262655488,4941,23022,132,
879008229531029506,2812,19317,94,
878776093423087618,4319,19763,126,"PrideMonthPuppo,PrideMonth"
878604707211726852,7582,30931,45,
878404777348136964,1349,0,140,
878316110768087041,6965,0,140,
878281511006478336,1349,7913,140,
878057613040115712,7181,42876,115,
877736472329191424,17300,71144,93,
877611172832227328,83,0,122,
877556246731214848,3994,23258,139,
877316821321428993,5414,27907,137,
877201837425926144,5880,27755,128,
876838120628539392,3506,21125,125,
876537666061221889,4800,23869,117,
876484053909872640,2511,19163,127,
876120275196170240,4903,28490,140,
875747767867523072,4497,25773,125,
875144289856114688,5081,22185,133,
875097192612077568,6342,27997,96,
875021211251597312,4922,26022,115,
874680097055178752,4875,28439,92,
874434818259525634,15546,0,140,
874296783580663808,4308,26651,114,
874057562936811520,4125,23134,129,
874012996292530176,11007,35501,139,PrideMonth
873697596434513921,12518,0,137,
873580283840344065,4143,24837,135,
873337748698140672,1667,0,140,
873213775632977920,1667,7467,140,
872967104147763200,5669,28031,132,
872820683541237760,3884,15029,140,dogsatpollingstations
872668790621863937,31,0,140,
872620804844003328,3911,21309,116,PrideMonth
872486979161796608,9429,41606,133,
872261713294495745,6649,35085,138,
872122724285648897,8549,35324,126,
871879754684805121,11918,39090,136,PrideMonth
871762521631449091,3678,20787,134,
871515927908634625,3628,20730,140,
871166179821445120,5991,0,140,
871102520638267392,5764,21461,25,
871032628920680449,3999,23255,136,
870804317367881728,6393,33791,136,
870726314365509632,3,121,60,
870656317836468226,2817,12819,138,
870374049280663552,27680,85011,139,
870308999962521604,4384,22453,125,
870063196459192321,8840,37771,140,
869988702071779329,25661,0,140,
869772420881756160,10663,43710,110,
869702957897576449,6728,29116,139,
869596645499047938,3327,16476,139,
